Country,Category,Requirement 2016,Funded 2016,Percent Funded 2016,Requirement 2017,Tagged For Refugee Response
CMR,COORDINATION,,,,6613755,
CMR,EARLY RECOVERY,3402800,2100000,0.62,17986000,6458850
CMR,EDUCATION,2991043,1265956,0.42,11753684,3581720
CMR,EMERGENCY SHELTER AND NFI,5622480,1201898,0.21,5599281,411000
CMR,FOOD SECURITY,19732962,18671335,0.95,55387226,13317328
CMR,HEALTH,2325998,2173577,0.93,11646815,1184800
CMR,MULTI-SECTOR FOR REFUGEES,27898311,6191026,0.22,33384663,33384663
CMR,NUTRITION,10404301,9755015,0.94,17023664,2080260
CMR,PROTECTION,7313439,5801847,0.79,18343842,4367024
CMR,WATER AND SANITATION,5332070,5263202,0.99,13698474,2291063
CMR,GRAND TOTAL,85023404,52423856,0.62,191437412,67076708
CHD,COORDINATION,1500002,1004792,0.67,,
CHD,EDUCATION,3123079,4475189,1.43,6641907
CHD,EMERGENCY SHELTER AND NFI,6177670,2969462,0.48,2596800
CHD,FOOD SECURITY,33422549,28382471,0.85,49034862,1358369
CHD,HEALTH,12055899,5678302,0.47,10669960,700000
CHD,LOGISTICS,1499164,1164457,0.78,,
CHD,MULTI-SECTOR FOR REFUGEES,13124725,438817,0.03,11777881,11777881
CHD,NUTRITION,14011297,6312841,0.45,25301122,1311746
CHD,PROTECTION,9482225,1119304,0.12,11357945,1575552
CHD,WATER AND SANITATION,3808667,2730778,0.72,3881207,
CHD,GRAND TOTAL,98205277,54276412,0.55,121261684,16723548
NER,COORDINATION,1141320,815717,0.71,,
NER,EDUCATION,2919999,386675,0.13,9321153,
NER,EMERGENCY SHELTER AND NFI,4770400,2271708,0.48,12342581,
NER,FOOD SECURITY,32685360,12478974,0.38,60382367,
NER,HEALTH,1974388,2111208,1.07,9000243,
NER,MULTI-SECTOR FOR REFUGEES,18791528,9298618,0.49,,
NER,NUTRITION,281399,453001,1.61,7472866,
NER,PROTECTION,2914521,2143370,0.74,27191638,
NER,WATER AND SANITATION,6082644,2971749,0.49,13600000,
NER,GRAND TOTAL,71561559,32931021,0.46,139310848,
NGR,CAMP COORDINATION AND MANAGEMENT,12358500,11205210,0.91,11560000,
NGR,COORDINATION,19832865,25688225,1.30,31193662,
NGR,EARLY RECOVERY,26361765,0,0,44553589,
NGR,EDUCATION,23598454,4322053,0.18,56339244,
NGR,EMERGENCY SHELTER AND NFI,53743197,17227848,0.32,70332436,
NGR,EMERGENCY TELECOMMUNICATIONS,,,,5846761,
NGR,FOOD SECURITY,157635957,69757654,0.44,480260433,
NGR,HEALTH,53143622,11760001,0.22,93827598,
NGR,LOGISTICS,,,,12238706,
NGR,NUTRITION,33216948,22017823,0.66,112595211,
NGR,PROTECTION,55885268,6959241,0.12,88274151,
NGR,WATER AND SANITATION,48403022,7059788,0.15,49736246,
NGR,NOT SPECIFIED,0,77997897,,,
NGR,GRAND TOTAL,484179598,254158378,0.52,1056758037,
