Category,Requirement 2016,Funded 2016,Percent Funded 2016,Requirement 2017
COORDINATION,1141320,815717,0.71,
EDUCATION,2919999,386675,0.13,9321153
EMERGENCY SHELTER AND NFI,4770400,2271708,0.48,12342581
FOOD SECURITY,32685360,12478974,0.38,60382367
HEALTH,1974388,2111208,1.07,9000243
MULTI-SECTOR FOR REFUGEES,18791528,9298618,0.49,
NUTRITION,281399,453001,1.61,7472866
PROTECTION,2914521,2143370,0.74,27191638
WATER AND SANITATION,6082644,2971749,0.49,13600000
GRAND TOTAL,71561559,32931021,0.46,139310848
