Country,ReportedLocation,Period,TotalTotal,DisplType
Cameroon,Extrême-Nord,2015-02-28,,idp
Cameroon,Extrême-Nord,2015-04-30,96042.0,idp
Cameroon,Extrême-Nord,2015-06-30,81693.0,idp
Cameroon,Extrême-Nord,2015-08-31,92657.0,idp
Cameroon,Extrême-Nord,2015-10-31,92657.0,idp
Cameroon,Extrême-Nord,2015-12-31,92657.0,idp
Cameroon,Extrême-Nord,2016-02-29,169970.0,idp
Cameroon,Extrême-Nord,2016-04-30,190591.0,idp
Cameroon,Extrême-Nord,2016-06-30,190591.0,idp
Cameroon,Extrême-Nord,2016-08-31,190591.0,idp
Cameroon,Extrême-Nord,2015-02-28,,refugee
Cameroon,Extrême-Nord,2015-04-30,,refugee
Cameroon,Extrême-Nord,2015-06-30,,refugee
Cameroon,Extrême-Nord,2015-08-31,61366.0,refugee
Cameroon,Extrême-Nord,2015-10-31,64715.0,refugee
Cameroon,Extrême-Nord,2015-12-31,64715.0,refugee
Cameroon,Extrême-Nord,2016-02-29,64715.0,refugee
Cameroon,Extrême-Nord,2016-04-30,64715.0,refugee
Cameroon,Extrême-Nord,2016-06-30,65089.0,refugee
Cameroon,Extrême-Nord,2016-08-31,65741.0,refugee
