Date,Country,People in Affected Areas,Displaced People,People in Need ,SAM Children,Food insecure people (3+)
#date,#country+code,#affected,#affected+displaced,#inneed,#affected+sam,#affected+foodinsecure
2016-02-29,CHD,1400000,67500,257000,30000,117000
2016-02-29,CMR,3600000,238000,1500000,37000,203000
2016-02-29,NER,491000,225000,460000,16000,148000
2016-02-29,NGR,15000000,2100000,7000000,227000,4000000
2016-03-21,CHD,1400000,66000,257000,30000,117000
2016-03-21,CMR,4000000,237000,1500000,37000,203000
2016-03-21,NER,684000,225000,460000,16000,148000
2016-03-21,NGR,15000000,1800000,7000000,227000,2500000
2016-04-06,CHD,1400000,112000,257000,30000,117000
2016-04-06,CMR,4000000,237000,1500000,37000,203000
2016-04-06,NER,684000,225000,460000,16000,148000
2016-04-06,NGR,15000000,1800000,7000000,227000,2500000
2016-07-11,CHD,1400000,119000,257000,30000,134000
2016-07-11,CMR,4000000,262000,1500000,37000,203000
2016-07-11,NER,684000,281000,460000,16000,399000
2016-07-11,NGR,15000000,1950000,7000000,227000,3020000
2016-08-23,CHD,552000,122000,257000,22200,134000
2016-08-23,CMR,4000000,296000,1500000,43300,1400000
2016-08-23,NER,684000,241000,460000,14400,399000
2016-08-23,NGR,15000000,1900000,7000000,398200,4400000
2016-09-05,CHD,552000,123000,257000,22200,134000
2016-09-05,CMR,4000000,263000,1500000,40000,1400000
2016-09-05,NER,684000,241000,460000,14400,399000
2016-09-05,NGR,15000000,1950000,7000000,491000,4400000
2016-10-03,CHD,552000,127000,257000,22200,134000
2016-10-03,CMR,4000000,260000,1500000,44300,1400000
2016-10-03,NER,684000,302000,460000,14400,399000
2016-10-03,NGR,15000000,1950000,7000000,397400,4400000
2016-10-19,CHD,552000,132000,257000,22200,134000
2016-10-19,CMR,4000000,260000,1500000,44300,1400000
2016-10-19,NER,684000,302000,460000,14400,399000
2016-10-19,NGR,15000000,1950000,7000000,397400,4400000
2016-11-01,CHD,552000,131000,257000,22200,134000
2016-11-01,CMR,4000000,260000,1500000,44300,1500000
2016-11-01,NER,684000,222000,460000,14400,399000
2016-11-01,NGR,15000000,1950000,7000000,397400,4400000
2016-12-08,CHD,518000,125000,345000,22000,136000
2016-12-08,CMR,4000000,298000,1600000,31000,1500000
2016-12-08,NER,704000,302000,340000,12000,340000
2016-12-08,NGR,12000000,1680000,8500000,450000,5100000
2016-12-19,CHD,518000,125000,345000,22000,136000
2016-12-19,CMR,4000000,298000,1600000,31000,1500000
2016-12-19,NER,704000,302000,340000,12000,340000
2016-12-19,NGR,12000000,1680000,8500000,450000,5100000
2017-01-11,CHD,518000,130000,345000,22000,136000
2017-01-11,CMR,4000000,267000,1600000,31000,1500000
2017-01-11,NER,704000,241000,340000,12000,340000
2017-01-11,NGR,12000000,1630000,8500000,450000,5100000
