Donor organization,Funding US$,Pledges US$
Central Emergency Response Fund,10058848,0
"Denmark, Government of",284398,0
European Commission,5004025,0
European Commission's Humanitarian Aid and Civil Protection Department,12317747,0
"France, Government of",364513,0
"Germany, Government of",226757,0
"Italy, Government of",1000000,0
"Japan, Government of",5131000,0
"Niger, Government of",4379442,0
Not specified,9278754,0
"Switzerland, Government of",986193,0
UN Peacebuilding Fund,326390,0
"United States of America, Government of",35174964,0
World Food Programme,2247000,0
